Plant Type,Moisture 1,Moisture 2,Humidity,Temperature,Motor State
9oclock,wet,moist,46.54,39.34,0
9oclock,wet,wet,84.42,20.23,0
9oclock,moist,dry,68.77,31.75,1
moneyplant,moist,dry,43.74,20.47,0
moneyplant,moist,moist,38.55,28.52,0
9oclock,dry,moist,48.34,20.25,1
9oclock,moist,dry,53.64,25.0,1
moneyplant,dry,moist,34.15,16.11,0
9oclock,dry,wet,44.35,16.43,1
moneyplant,wet,dry,45.93,26.56,0
9oclock,wet,moist,64.66,22.98,0
9oclock,wet,wet,45.36,32.77,0
9oclock,dry,wet,51.21,39.93,1
moneyplant,dry,wet,52.34,34.2,0
9oclock,wet,moist,52.44,24.24,0
9oclock,wet,moist,42.78,32.9,0
moneyplant,wet,wet,39.87,32.29,0
9oclock,dry,wet,68.51,37.66,1
moneyplant,dry,moist,44.81,24.66,0
moneyplant,moist,moist,87.39,24.04,0
9oclock,wet,dry,46.04,33.65,1
moneyplant,wet,moist,61.63,28.32,0
9oclock,wet,wet,59.48,34.03,0
9oclock,moist,wet,44.71,27.46,0
moneyplant,moist,moist,52.22,39.11,0
9oclock,dry,dry,57.76,20.96,1
9oclock,dry,wet,89.73,31.95,1
9oclock,moist,wet,43.85,26.33,0
moneyplant,wet,moist,45.67,31.6,0
moneyplant,wet,wet,32.26,39.85,0
9oclock,wet,wet,62.64,28.19,0
9oclock,moist,wet,60.98,36.56,0
moneyplant,dry,dry,51.76,24.64,1
9oclock,dry,dry,39.41,19.07,1
moneyplant,wet,dry,74.88,33.71,0
moneyplant,wet,dry,71.67,26.67,0
moneyplant,dry,moist,48.65,35.72,0
9oclock,dry,wet,78.87,39.54,1
9oclock,wet,wet,83.24,34.95,0
9oclock,moist,dry,84.28,30.03,1
9oclock,wet,dry,35.96,33.62,1
9oclock,moist,dry,73.95,23.15,1
moneyplant,moist,moist,89.09,17.12,0
9oclock,moist,dry,52.57,39.3,1
9oclock,moist,moist,35.89,18.82,0
9oclock,moist,dry,81.94,29.48,1
9oclock,moist,moist,83.74,17.92,0
9oclock,wet,wet,48.66,29.05,0
moneyplant,wet,dry,34.06,25.25,0
moneyplant,moist,moist,84.18,34.29,0
9oclock,dry,wet,72.94,26.62,1
moneyplant,moist,wet,86.77,24.66,0
9oclock,dry,wet,87.64,24.94,1
9oclock,moist,wet,86.92,19.64,0
moneyplant,moist,dry,84.15,35.68,0
moneyplant,dry,dry,67.25,15.19,1
moneyplant,dry,wet,36.98,31.94,0
9oclock,dry,wet,67.68,29.91,1
moneyplant,dry,moist,62.06,27.61,0
9oclock,moist,wet,73.15,26.64,0
9oclock,dry,wet,60.45,25.06,1
moneyplant,dry,moist,84.16,29.76,0
9oclock,moist,wet,65.43,31.68,0
9oclock,wet,moist,32.52,17.22,0
moneyplant,moist,wet,51.76,30.27,0
moneyplant,moist,dry,43.64,34.88,0
9oclock,dry,dry,32.33,31.29,1
moneyplant,dry,moist,51.24,17.19,0
moneyplant,dry,moist,65.62,38.04,0
9oclock,dry,moist,77.94,22.47,1
moneyplant,wet,dry,44.09,39.02,0
9oclock,moist,wet,55.74,20.65,0
9oclock,dry,wet,41.24,36.33,1
9oclock,wet,dry,37.25,20.3,1
moneyplant,wet,dry,33.42,29.74,0
9oclock,dry,dry,32.73,20.18,1
9oclock,dry,wet,77.03,26.82,1
moneyplant,moist,wet,80.28,22.11,0
9oclock,wet,wet,69.88,23.69,0
9oclock,dry,moist,46.29,15.55,1
9oclock,moist,dry,33.07,18.74,1
moneyplant,dry,dry,85.68,38.6,1
9oclock,wet,moist,51.94,25.87,0
9oclock,moist,wet,84.81,29.61,0
moneyplant,moist,dry,41.59,21.79,0
9oclock,wet,wet,87.43,32.5,0
moneyplant,dry,moist,55.07,26.64,0
moneyplant,wet,wet,41.68,38.29,0
9oclock,wet,wet,46.88,36.72,0
9oclock,dry,wet,60.81,39.68,1
moneyplant,moist,wet,35.28,30.8,0
moneyplant,moist,wet,86.12,26.48,0
moneyplant,wet,dry,52.25,25.64,0
9oclock,moist,moist,63.87,31.35,0
9oclock,wet,wet,71.42,26.04,0
9oclock,wet,dry,56.29,20.17,1
moneyplant,wet,moist,41.57,32.49,0
9oclock,moist,wet,42.09,29.22,0
9oclock,moist,moist,62.59,37.72,0
moneyplant,dry,moist,68.64,23.05,0
9oclock,moist,wet,35.06,23.59,0
moneyplant,moist,moist,72.08,39.94,0
9oclock,wet,dry,41.35,32.29,1
moneyplant,wet,wet,89.76,21.61,0
moneyplant,dry,dry,41.4,30.73,1
moneyplant,dry,moist,52.72,35.45,0
moneyplant,moist,wet,46.47,35.83,0
9oclock,dry,moist,66.8,34.45,1
moneyplant,moist,dry,57.08,33.52,0
9oclock,dry,moist,74.97,30.16,1
9oclock,dry,dry,87.45,39.61,1
9oclock,moist,dry,61.5,20.48,1
moneyplant,dry,wet,66.51,37.37,0
moneyplant,moist,dry,34.57,19.07,0
moneyplant,wet,wet,79.66,17.38,0
9oclock,dry,wet,63.66,30.28,1
9oclock,dry,dry,89.62,39.02,1
moneyplant,moist,dry,64.12,37.66,0
9oclock,dry,moist,54.37,39.58,1
9oclock,moist,dry,51.1,29.58,1
9oclock,dry,wet,65.9,19.68,1
moneyplant,wet,wet,61.81,19.86,0
9oclock,dry,moist,47.0,27.31,1
moneyplant,moist,dry,58.06,23.53,0
9oclock,moist,dry,66.3,34.26,1
moneyplant,dry,moist,53.08,39.12,0
9oclock,moist,wet,46.89,34.13,0
9oclock,wet,dry,54.73,20.0,1
moneyplant,moist,wet,53.59,35.16,0
9oclock,dry,dry,88.16,32.73,1
9oclock,dry,moist,89.98,19.98,1
moneyplant,wet,dry,68.84,19.76,0
9oclock,moist,wet,64.32,25.75,0
moneyplant,dry,wet,73.85,28.27,0
9oclock,dry,wet,35.71,25.27,1
moneyplant,dry,wet,84.48,33.41,0
9oclock,wet,moist,79.07,33.19,0
moneyplant,dry,wet,77.46,20.86,0
9oclock,dry,moist,58.03,35.66,1
9oclock,wet,dry,47.18,25.88,1
9oclock,dry,wet,39.58,24.35,1
moneyplant,moist,moist,60.96,25.66,0
moneyplant,dry,dry,37.1,28.99,1
9oclock,moist,wet,64.22,28.31,0
moneyplant,moist,dry,83.95,28.88,0
moneyplant,dry,moist,43.56,30.7,0
moneyplant,moist,moist,62.07,17.74,0
moneyplant,moist,moist,31.58,36.96,0
moneyplant,moist,wet,37.74,24.71,0
moneyplant,moist,dry,48.45,29.82,0
9oclock,dry,moist,40.18,26.54,1
9oclock,dry,moist,67.67,31.67,1
moneyplant,wet,moist,76.76,25.4,0
moneyplant,moist,moist,85.7,32.7,0
moneyplant,dry,moist,62.94,32.12,0
9oclock,moist,moist,62.66,22.23,0
9oclock,moist,wet,47.44,31.66,0
moneyplant,moist,moist,39.43,26.61,0
9oclock,dry,dry,47.43,34.06,1
9oclock,moist,wet,89.94,39.97,0
moneyplant,wet,moist,72.01,26.3,0
9oclock,moist,moist,39.99,36.77,0
moneyplant,dry,wet,73.6,34.2,0
9oclock,moist,moist,40.57,37.75,0
moneyplant,moist,dry,38.98,29.1,0
moneyplant,dry,wet,30.82,16.73,0
9oclock,moist,moist,56.09,19.06,0
moneyplant,dry,wet,76.57,19.19,0
9oclock,wet,moist,62.69,20.26,0
9oclock,dry,wet,82.64,18.99,1
moneyplant,dry,dry,68.05,39.99,1
9oclock,wet,wet,40.64,39.3,0
9oclock,moist,dry,65.26,39.92,1
9oclock,wet,wet,77.74,37.8,0
moneyplant,moist,dry,71.63,22.76,0
moneyplant,moist,dry,76.77,22.53,0
9oclock,dry,dry,41.95,15.74,1
moneyplant,moist,wet,83.2,35.72,0
9oclock,dry,moist,55.15,38.79,1
moneyplant,moist,moist,56.98,29.81,0
9oclock,dry,dry,49.43,33.65,1
9oclock,wet,dry,70.78,38.12,1
9oclock,moist,moist,40.26,19.86,0
moneyplant,wet,dry,70.34,29.15,0
9oclock,dry,moist,57.02,36.82,1
9oclock,dry,wet,83.92,37.36,1
9oclock,moist,wet,62.07,19.48,0
moneyplant,dry,wet,83.89,15.99,0
moneyplant,moist,wet,68.65,33.03,0
moneyplant,moist,moist,47.57,31.3,0
9oclock,wet,moist,55.31,15.05,0
9oclock,moist,dry,47.1,23.36,1
moneyplant,moist,wet,71.18,15.19,0
9oclock,wet,wet,53.99,28.23,0
moneyplant,dry,wet,34.92,22.55,0
9oclock,wet,wet,57.84,29.87,0
moneyplant,moist,wet,42.38,23.83,0
9oclock,moist,dry,30.75,19.31,1
moneyplant,dry,dry,71.04,35.42,1
9oclock,moist,wet,33.57,32.75,0
9oclock,wet,moist,43.89,31.74,0
moneyplant,wet,dry,41.49,33.04,0
moneyplant,dry,dry,63.39,32.93,1
moneyplant,dry,dry,40.93,36.28,1
moneyplant,moist,moist,85.6,23.73,0
9oclock,wet,wet,39.39,35.17,0
9oclock,dry,wet,68.69,35.51,1
9oclock,dry,wet,31.47,34.92,1
9oclock,dry,wet,60.84,18.84,1
9oclock,moist,moist,84.33,17.74,0
moneyplant,dry,wet,70.11,31.52,0
moneyplant,dry,dry,51.62,31.5,1
9oclock,dry,dry,67.85,28.1,1
moneyplant,moist,dry,37.94,27.66,0
9oclock,moist,moist,64.85,16.48,0
moneyplant,dry,moist,52.45,31.02,0
9oclock,dry,wet,38.66,38.4,1
9oclock,wet,wet,81.02,39.21,0
9oclock,dry,moist,71.33,24.45,1
moneyplant,moist,moist,84.83,33.87,0
9oclock,moist,moist,33.08,22.08,0
9oclock,wet,dry,82.69,36.29,1
moneyplant,dry,dry,50.46,30.83,1
moneyplant,moist,wet,38.86,21.82,0
moneyplant,dry,moist,48.59,38.81,0
9oclock,moist,dry,86.6,34.23,1
moneyplant,dry,moist,84.0,31.91,0
moneyplant,moist,dry,37.35,36.97,0
9oclock,dry,dry,72.14,39.37,1
9oclock,dry,dry,87.39,15.28,1
moneyplant,wet,dry,60.94,28.53,0
moneyplant,dry,wet,33.53,29.22,0
9oclock,dry,moist,62.64,33.86,1
moneyplant,wet,moist,85.86,30.97,0
moneyplant,wet,wet,36.39,38.0,0
moneyplant,dry,wet,53.99,24.49,0
moneyplant,moist,wet,87.48,36.59,0
9oclock,moist,moist,30.62,25.38,0
moneyplant,wet,wet,81.78,22.83,0
moneyplant,moist,dry,84.0,22.48,0
9oclock,wet,dry,74.45,24.03,1
moneyplant,wet,wet,40.85,22.31,0
moneyplant,dry,moist,32.25,29.64,0
moneyplant,wet,moist,45.11,33.95,0
9oclock,dry,moist,81.7,31.51,1
9oclock,wet,dry,70.2,22.58,1
moneyplant,wet,dry,45.47,16.86,0
moneyplant,wet,dry,84.61,24.7,0
moneyplant,dry,moist,50.07,34.9,0
moneyplant,dry,wet,57.73,27.83,0
moneyplant,dry,moist,76.08,34.73,0
9oclock,dry,wet,45.32,16.32,1
9oclock,moist,moist,47.61,17.52,0
moneyplant,moist,dry,56.74,15.91,0
9oclock,moist,wet,86.96,32.2,0
9oclock,moist,moist,56.27,28.41,0
moneyplant,moist,moist,41.21,25.07,0
moneyplant,wet,moist,33.25,23.94,0
9oclock,moist,moist,61.97,38.15,0
moneyplant,wet,moist,79.69,21.02,0
moneyplant,dry,dry,69.7,31.48,1
9oclock,wet,dry,81.29,34.77,1
9oclock,wet,moist,50.71,20.98,0
moneyplant,dry,wet,43.22,35.1,0
moneyplant,dry,wet,32.14,30.26,0
9oclock,moist,dry,59.46,36.62,1
9oclock,dry,dry,73.42,20.51,1
9oclock,dry,dry,75.88,22.93,1
moneyplant,dry,wet,75.94,15.97,0
moneyplant,moist,wet,59.99,29.2,0
9oclock,wet,moist,39.6,18.94,0
moneyplant,dry,wet,64.51,30.37,0
moneyplant,moist,dry,31.18,30.84,0
9oclock,moist,wet,30.09,15.54,0
moneyplant,moist,moist,34.28,33.71,0
moneyplant,moist,wet,62.51,20.62,0
9oclock,dry,moist,56.33,24.51,1
moneyplant,wet,dry,57.21,24.74,0
9oclock,wet,moist,59.71,38.49,0
9oclock,dry,dry,35.94,27.59,1
9oclock,wet,moist,48.58,28.32,0
9oclock,moist,wet,59.05,29.54,0
9oclock,wet,dry,89.68,22.68,1
moneyplant,dry,dry,57.23,15.41,1
9oclock,moist,moist,64.7,20.78,0
moneyplant,wet,wet,54.08,32.75,0
9oclock,dry,moist,79.64,24.55,1
9oclock,moist,wet,53.8,32.65,0
9oclock,dry,dry,34.16,19.35,1
moneyplant,wet,dry,50.85,28.07,0
moneyplant,wet,moist,64.4,17.82,0
9oclock,wet,moist,38.34,36.32,0
9oclock,dry,dry,62.31,34.05,1
moneyplant,wet,moist,35.08,23.83,0
9oclock,moist,dry,56.52,22.38,1
moneyplant,wet,wet,72.9,31.99,0
