Plant Type,Moisture 1,Moisture 2,Humidity,Temperature,Motor State
9oclock,wet,dry,68.9,33.43,1
9oclock,moist,moist,67.82,38.14,0
9oclock,dry,dry,61.13,36.42,1
moneyplant,dry,dry,53.98,38.54,1
moneyplant,wet,dry,67.28,19.65,0
moneyplant,wet,dry,47.77,39.4,0
9oclock,wet,wet,83.89,28.48,0
9oclock,dry,wet,34.93,37.96,1
9oclock,dry,moist,52.22,20.54,1
moneyplant,moist,dry,46.46,28.06,0
9oclock,wet,wet,64.42,29.02,0
9oclock,wet,moist,40.37,33.53,0
moneyplant,wet,moist,84.89,32.15,0
moneyplant,dry,moist,30.71,29.83,0
moneyplant,wet,dry,62.16,28.0,0
9oclock,dry,moist,80.26,20.55,1
moneyplant,moist,wet,67.13,32.62,0
9oclock,dry,moist,36.21,30.51,1
moneyplant,wet,dry,82.34,15.47,0
9oclock,wet,dry,33.92,35.38,1
moneyplant,dry,wet,48.93,35.95,0
9oclock,dry,wet,78.53,32.73,1
moneyplant,wet,wet,37.1,18.47,0
9oclock,dry,wet,88.68,30.81,1
moneyplant,wet,wet,44.42,31.68,0
9oclock,dry,dry,89.11,20.86,1
moneyplant,wet,dry,32.4,36.6,0
moneyplant,wet,dry,45.7,17.61,0
9oclock,moist,moist,87.21,22.54,0
moneyplant,wet,moist,31.12,30.22,0
9oclock,moist,wet,43.98,37.4,0
9oclock,wet,dry,37.69,16.11,1
9oclock,wet,dry,46.36,27.08,1
moneyplant,wet,moist,74.58,18.3,0
9oclock,moist,dry,56.43,21.22,1
9oclock,dry,moist,86.5,38.53,1
9oclock,moist,wet,68.89,21.04,0
moneyplant,moist,dry,56.0,38.36,0
moneyplant,wet,wet,47.4,29.89,0
9oclock,wet,wet,54.88,31.5,0
moneyplant,moist,wet,83.12,33.48,0
moneyplant,moist,dry,69.03,30.46,0
moneyplant,wet,wet,63.82,28.63,0
9oclock,dry,wet,34.68,24.01,1
9oclock,moist,moist,33.29,24.15,0
moneyplant,moist,dry,33.04,29.04,0
9oclock,dry,wet,71.34,38.1,1
moneyplant,dry,wet,42.95,17.13,0
moneyplant,moist,dry,52.91,26.65,0
9oclock,moist,wet,70.96,23.54,0
moneyplant,dry,moist,57.91,28.85,0
moneyplant,wet,wet,72.11,20.41,0
moneyplant,moist,dry,59.78,20.4,0
moneyplant,moist,dry,67.59,16.04,0
moneyplant,dry,dry,66.07,27.49,1
9oclock,moist,moist,51.92,25.81,0
moneyplant,dry,dry,59.41,30.93,1
9oclock,wet,moist,46.32,38.81,0
moneyplant,dry,wet,71.62,35.81,0
9oclock,wet,dry,78.97,19.39,1
moneyplant,moist,dry,63.7,34.31,0
9oclock,moist,wet,58.98,20.83,0
9oclock,dry,wet,35.52,38.51,1
9oclock,dry,wet,34.99,16.97,1
9oclock,wet,dry,62.07,34.23,1
9oclock,dry,wet,81.68,30.07,1
9oclock,dry,moist,69.46,17.5,1
9oclock,dry,wet,55.71,20.77,1
moneyplant,moist,dry,72.88,15.27,0
9oclock,wet,wet,52.29,22.43,0
moneyplant,moist,dry,88.34,23.78,0
9oclock,moist,moist,88.23,23.24,0
9oclock,wet,moist,71.03,35.91,0
9oclock,wet,moist,76.01,33.45,0
9oclock,wet,dry,72.82,37.75,1
9oclock,wet,wet,75.77,31.53,0
9oclock,wet,wet,36.59,28.77,0
9oclock,moist,wet,85.5,24.15,0
moneyplant,dry,moist,46.2,39.49,0
9oclock,dry,dry,56.68,17.4,1
moneyplant,wet,dry,36.03,23.11,0
moneyplant,moist,moist,60.4,19.49,0
moneyplant,dry,dry,77.91,19.43,1
9oclock,wet,dry,47.83,23.57,1
9oclock,dry,moist,44.7,16.12,1
moneyplant,dry,wet,58.67,38.1,0
moneyplant,wet,wet,43.22,29.84,0
moneyplant,wet,wet,52.7,16.57,0
moneyplant,moist,moist,30.46,35.81,0
9oclock,wet,dry,40.03,26.37,1
9oclock,wet,wet,31.8,18.87,0
9oclock,wet,dry,80.75,22.26,1
9oclock,dry,dry,77.41,26.77,1
moneyplant,wet,moist,35.38,15.83,0
moneyplant,dry,dry,70.88,33.34,1
9oclock,wet,wet,43.41,30.36,0
9oclock,moist,wet,69.1,33.86,0
moneyplant,dry,moist,54.69,19.09,0
9oclock,wet,wet,30.63,20.46,0
moneyplant,wet,dry,71.37,23.52,0
moneyplant,moist,moist,77.48,29.69,0
moneyplant,dry,moist,87.93,36.05,0
9oclock,moist,dry,50.37,31.66,1
9oclock,dry,wet,77.62,38.68,1
moneyplant,wet,wet,68.03,21.95,0
moneyplant,moist,dry,51.9,23.7,0
9oclock,wet,dry,51.73,33.75,1
moneyplant,wet,wet,64.49,25.57,0
9oclock,dry,dry,73.53,34.98,1
moneyplant,wet,moist,36.16,28.77,0
moneyplant,dry,moist,46.66,38.35,0
moneyplant,moist,dry,69.96,29.94,0
9oclock,moist,moist,33.35,20.44,0
moneyplant,dry,moist,68.96,18.76,0
9oclock,wet,moist,35.52,34.04,0
moneyplant,moist,wet,81.22,19.64,0
9oclock,wet,dry,88.75,24.3,1
moneyplant,dry,dry,71.96,17.02,1
9oclock,moist,moist,71.29,23.4,0
9oclock,moist,dry,74.45,38.76,1
9oclock,wet,wet,37.1,28.7,0
moneyplant,moist,moist,33.07,20.23,0
9oclock,wet,dry,33.17,36.0,1
9oclock,dry,dry,80.43,28.86,1
moneyplant,wet,dry,41.87,33.93,0
9oclock,moist,wet,50.85,37.13,0
moneyplant,moist,wet,83.47,24.52,0
moneyplant,dry,moist,53.07,19.43,0
9oclock,moist,dry,88.94,37.65,1
9oclock,dry,wet,61.3,37.87,1
moneyplant,moist,moist,79.17,27.13,0
moneyplant,moist,wet,87.99,20.16,0
moneyplant,moist,wet,65.05,39.7,0
moneyplant,wet,moist,46.6,23.43,0
moneyplant,moist,dry,51.96,19.8,0
moneyplant,dry,wet,43.96,29.59,0
moneyplant,moist,moist,41.0,18.35,0
9oclock,dry,wet,79.16,34.28,1
9oclock,moist,dry,72.24,31.57,1
9oclock,moist,dry,44.67,27.86,1
9oclock,moist,moist,72.61,31.24,0
moneyplant,moist,dry,74.29,39.03,0
9oclock,moist,moist,32.82,37.78,0
9oclock,wet,moist,55.22,15.14,0
9oclock,dry,wet,55.01,19.28,1
9oclock,dry,wet,63.89,23.52,1
moneyplant,dry,dry,36.91,38.89,1
9oclock,moist,moist,59.36,27.3,0
9oclock,dry,dry,51.13,17.22,1
9oclock,moist,dry,65.73,25.95,1
moneyplant,dry,wet,73.99,39.94,0
9oclock,dry,dry,48.93,30.54,1
9oclock,wet,wet,68.78,26.73,0
moneyplant,wet,dry,47.78,15.1,0
9oclock,moist,dry,33.59,34.18,1
moneyplant,moist,wet,65.62,28.21,0
moneyplant,moist,moist,53.65,15.93,0
moneyplant,wet,moist,49.59,21.15,0
9oclock,dry,dry,62.4,15.69,1
9oclock,dry,moist,31.5,18.77,1
9oclock,dry,moist,40.36,28.29,1
9oclock,wet,wet,50.86,31.45,0
9oclock,dry,moist,80.65,16.26,1
moneyplant,moist,moist,51.91,23.98,0
9oclock,moist,moist,63.5,15.29,0
moneyplant,moist,dry,59.54,32.01,0
moneyplant,dry,moist,54.87,39.57,0
moneyplant,wet,wet,81.86,30.61,0
9oclock,dry,dry,80.21,33.48,1
moneyplant,dry,moist,32.43,29.43,0
9oclock,moist,moist,87.41,33.34,0
9oclock,wet,moist,35.38,18.88,0
moneyplant,wet,wet,35.89,25.7,0
9oclock,moist,moist,70.95,38.96,0
moneyplant,dry,dry,54.93,30.73,1
9oclock,dry,wet,85.24,24.12,1
9oclock,dry,moist,72.82,16.89,1
moneyplant,dry,dry,45.49,26.84,1
moneyplant,dry,wet,47.35,35.08,0
moneyplant,moist,dry,82.96,21.51,0
9oclock,moist,dry,84.86,21.93,1
moneyplant,dry,moist,80.84,17.29,0
moneyplant,dry,moist,66.65,23.23,0
9oclock,moist,moist,72.92,24.43,0
9oclock,wet,dry,43.67,32.55,1
moneyplant,dry,dry,56.05,36.71,1
9oclock,dry,moist,40.05,30.21,1
9oclock,wet,moist,38.79,27.07,0
moneyplant,wet,moist,70.86,38.29,0
moneyplant,moist,dry,87.84,17.98,0
moneyplant,wet,wet,40.41,32.7,0
moneyplant,dry,dry,78.84,38.72,1
9oclock,wet,moist,32.21,18.48,0
9oclock,dry,wet,33.13,30.27,1
9oclock,moist,moist,48.24,35.09,0
9oclock,wet,wet,46.28,18.48,0
moneyplant,moist,dry,72.49,19.92,0
9oclock,dry,moist,41.16,15.13,1
9oclock,wet,wet,49.12,26.32,0
moneyplant,dry,wet,79.94,19.89,0
9oclock,dry,moist,33.26,23.41,1
9oclock,dry,moist,45.72,26.0,1
moneyplant,wet,dry,82.17,36.01,0
moneyplant,moist,moist,57.83,16.91,0
moneyplant,wet,moist,81.87,18.86,0
moneyplant,moist,moist,89.0,32.6,0
9oclock,dry,wet,53.98,23.27,1
9oclock,dry,moist,82.57,23.58,1
9oclock,moist,moist,43.73,19.91,0
moneyplant,dry,wet,70.34,27.48,0
9oclock,moist,dry,54.11,24.25,1
9oclock,moist,dry,81.62,26.74,1
9oclock,moist,wet,79.31,31.03,0
moneyplant,wet,moist,80.13,24.42,0
9oclock,dry,dry,74.54,29.55,1
moneyplant,dry,wet,70.54,39.17,0
moneyplant,dry,moist,83.26,27.22,0
9oclock,wet,dry,56.44,29.49,1
moneyplant,dry,wet,63.53,39.48,0
9oclock,wet,dry,71.43,21.4,1
9oclock,moist,wet,79.74,28.92,0
moneyplant,moist,dry,81.81,34.61,0
9oclock,wet,wet,65.38,37.9,0
moneyplant,moist,moist,51.78,26.33,0
9oclock,dry,moist,76.99,21.98,1
moneyplant,moist,dry,31.13,35.13,0
9oclock,wet,dry,61.83,15.62,1
9oclock,moist,wet,45.81,20.9,0
9oclock,moist,moist,50.34,21.62,0
9oclock,moist,moist,57.58,16.78,0
9oclock,dry,moist,88.3,25.2,1
moneyplant,dry,dry,58.61,30.82,1
9oclock,moist,wet,60.66,29.61,0
9oclock,dry,dry,45.35,33.78,1
moneyplant,dry,dry,77.1,33.41,1
moneyplant,wet,moist,49.46,26.87,0
moneyplant,wet,wet,52.22,33.56,0
moneyplant,dry,dry,78.2,16.74,1
moneyplant,wet,dry,85.85,19.31,0
moneyplant,moist,moist,79.68,39.24,0
moneyplant,dry,dry,36.11,39.27,1
moneyplant,wet,dry,75.76,16.98,0
moneyplant,wet,wet,35.59,26.21,0
moneyplant,dry,dry,51.15,25.7,1
9oclock,dry,moist,36.69,20.26,1
9oclock,wet,moist,50.06,37.78,0
9oclock,wet,dry,85.92,26.23,1
moneyplant,wet,wet,60.14,21.43,0
moneyplant,moist,moist,52.13,22.09,0
9oclock,moist,wet,72.35,36.84,0
9oclock,wet,moist,68.08,23.81,0
9oclock,wet,wet,46.56,26.38,0
9oclock,wet,dry,73.94,38.33,1
9oclock,wet,moist,48.92,35.98,0
moneyplant,wet,dry,80.89,33.22,0
9oclock,moist,dry,70.54,23.58,1
9oclock,moist,moist,43.76,15.18,0
moneyplant,moist,moist,30.58,21.85,0
9oclock,dry,wet,37.77,18.65,1
9oclock,moist,wet,72.94,20.28,0
9oclock,dry,wet,49.22,30.51,1
moneyplant,wet,moist,62.02,37.23,0
moneyplant,wet,wet,59.14,27.1,0
9oclock,wet,moist,54.17,35.32,0
9oclock,dry,wet,55.01,20.89,1
9oclock,wet,dry,34.14,31.07,1
moneyplant,dry,wet,70.69,35.14,0
moneyplant,moist,moist,37.86,17.16,0
moneyplant,wet,dry,65.33,25.8,0
9oclock,wet,moist,49.86,17.82,0
9oclock,dry,moist,64.88,35.8,1
moneyplant,wet,dry,34.41,37.92,0
moneyplant,wet,dry,61.92,30.85,0
moneyplant,moist,dry,41.44,27.25,0
9oclock,wet,moist,64.49,15.6,0
9oclock,wet,wet,32.06,22.87,0
moneyplant,moist,dry,70.41,25.47,0
9oclock,dry,dry,51.45,34.17,1
moneyplant,moist,moist,78.5,27.42,0
moneyplant,dry,wet,78.02,21.0,0
moneyplant,wet,wet,75.73,21.42,0
moneyplant,wet,wet,62.36,27.8,0
9oclock,dry,dry,34.68,33.69,1
9oclock,moist,moist,65.07,38.91,0
9oclock,moist,wet,45.2,19.95,0
